t͡ʃ æ p l ə t	chaplet
ɹ iː s t ɹ ɛ n θ ə n	restrengthen
s ɝ s i s	surcease
ɛ k w ɪ p ɔ ɪ z	equipoise
b ɛ n t͡ʃ	bentsh
t ɔ ɹ s o ʊ	torso
s ə b v ɜ ɹ ʃ ə n ɛ ɹ i	subversionary
ɹ ɪ l e ɪ t	relate
m ə t͡ʃ ʊ ə ɹ ə t i	maturity
l ɛ m e	lemme
p ɜː ɹ s p ɪ k e ɪ ʃ ə s	perspicacious
m ɛ t ə n ɪ m ɪ k	metonymic
æ l m ə n d	almond
p a ɪ k ə	pika
t ɹ æ k t a ɪ l	tractile
æ d ə n a ɪ i	Adonai
t a ʊ p o ʊ	Taupo
s t ɹ ɪ p ɪ t	strippet
k ɹ ɪ m s ə n	crimson
n u m ə ɹ ə n ɪ m	numeronym
t u t ɪ l ɛ ɹ ɪ k	tutelaric
h ɝ m ɪ t	hermit
d ɪ s d͡ʒ ɔ ɪ n t	disjoint
p ʌ n z	puns
b ɑ ɹ d i	bardie
d a ʊ n l o ʊ d ɪ ŋ	downloading
ʃ iː d	she'd
ɡ æ ð ɚ	gather
p ɑː n t ə s	Pontus
ɹ æ f t ə ɹ	rafter
p ɑ s t͡ʃ ə ɹ ə l	postural
p iː l ɪ ŋ z	peelings
s a ɪ n z	sines
t͡ʃ ɝ t͡ʃ ɪ k ə l	churchical
m ɪ s ɛ n	mesen
ɹ i ɑ l p o ʊ l ɪ t i k	realpolitik
d j uː t o ʊ s ə ɹ iː b ɹ ə l	deutocerebral
ʃ o ʊ b ɪ z	showbiz
t ɪ t͡ʃ ə l ɚ	titular
l ɪ l͡s p	lisp
ɛ l z	els
æ b z k w ɑ t͡ʃ ʊ l e ɪ ʃ n̩	absquatulation
b ɪ t ɹ e ɪ ə l	betrayal
t ɹ uː ɪ d͡ʒ	truage
ɡ ɹ ɪ z l i	grisly
l æ n d l ʌ b ɚ	landlubber
ə s j uː m d	assumed
s m ɪ d ʒ	smidge
ɛ m p a ɪ ɹ iː n̩	empyrean
s ə l u b ɹ i ə s	salubrious
s ʌ b d j ʊ ɹ ə l	subdural
ɡ ɒ s ə m ə ɹ i	gossamery
a ɪ m ə	Imma
